,start_station_id,start_station_name,start_station_latitude,start_station_longitude
147709,137,Magoun Square at Trum Field,42.398365,-71.107818
37211,138,Mass Ave at Newmarket Square,42.326599,-71.066498
80875,139,Dana Park,42.361589,-71.107437
71940,140,Danehy Park,42.388966,-71.132788
10570,141,Kendall Street,42.36356015842989,-71.08216792345047
116577,142,Alewife Station at Russell Field,42.396105,-71.139459
35356,143,EF - North Point Park,42.369885,-71.069957
135685,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042
74246,146,Day Boulevard,42.336448,-71.023739
163258,149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164
20994,150,State Street at Channel Center,42.344137,-71.052608
124874,151,John F Fitzgerald - Surface Road at India Street,42.358155,-71.052163
66370,152,Ink Block,42.345901,-71.063187
152416,153,8D OPS 03,42.3601,-71.0589
152565,158,8D OPS 01,42.3601,-71.0589
3028,159,Heath St at South Huntington,42.32797270205962,-71.11089706420898
109141,160,Wentworth Institute of Technology,42.337596,-71.096391
72517,161,West Broadway at D Street,42.3391085,-71.0514432
74123,162,Franklin Park - Seaver Street at Humbolt Ave,42.309796,-71.092225
85832,163,Lawn on D,42.344792,-71.044024
149481,167,Ryan Playground - Dorchester Avenue Station,42.317642,-71.056664
17826,169,Edwards Playground - Main Street & Eden Street,42.378965,-71.068607
63513,170,Franklin Park Zoo,42.303469,-71.085347
53123,171,Bunker Hill Community College,42.37408991426522,-71.06905996799469
25764,173,Savin Hill MBTA Station,42.310599,-71.053927
95299,174,Washington St at Brock St,42.34900494405213,-71.1604106426239
124454,175,Brighton Center,42.34894857235593,-71.15027189254761
30831,176,Lesley University,42.38674802045056,-71.11901879310608
173460,177,University Park,42.36264779118595,-71.10006093978882
70599,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567
37998,179,MIT Vassar St,42.35560121327927,-71.10394477844238
132188,180,Mt Auburn,42.37478628706384,-71.13320231437683
7336,183,Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304
26570,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632
26535,185,Third at Binney,42.36544486137399,-71.08277142047882
52785,186,Congress St and Northern Ave,42.3482032222746,-71.0376513004303
49976,189,Kendall T,42.3624278429124,-71.08495473861694
25424,190,Nashua Street at Red Auerbach Way,42.36559770612416,-71.06424808502197
14546,192,Purchase St at Pearl St,42.354686,-71.053292
22997,193,Brookline Village - Station Street @ MBTA,42.33289074055233,-71.11658334732056
85022,194,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789
54678,195,Brian P. Murphy Staircase at Child Street,42.3720597013741,-71.07202649116516
10923,196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393
102560,197,MLK Blvd at Washington St,42.321678,-71.091822
122623,199,Upham's Corner T Stop,42.31884382360106,-71.06975734233856
163226,200,Washington St at Melnea Cass Blvd,42.33282815812448,-71.08126938343048
55195,201,Walnut Ave at Crawford St,42.316873,-71.091955
13181,202,Grove Hall Library,42.308035,-71.081159
157602,203,Columbia Rd at Ceylon St,42.309566,-71.072863
92943,204,Walnut Ave at Warren St,42.324069,-71.083162
85593,205,Bowdoin St at Quincy St,42.30791912678712,-71.06502056121826
12572,207,Market St at Faneuil St,42.35480179069945,-71.15025043487549
26226,208,Oak Square - 615 Washington St,42.35057,-71.166491
34444,209,Chelsea St at Saratoga St,42.37980321246644,-71.02744817733765
12748,210,Bennington St at Byron St,42.38337841883669,-71.01612031481636
1854,211,Piers Park- Marginal St at East Boston Shipyard,42.36489045541549,-71.0350424052376
154991,212,Maverick Sq - Lewis Mall,42.3688385713652,-71.03976666949166
48829,213,EBNHC - 20 Maverick Sq,42.369562869377,-71.03942692279814
51947,214,Airport T Stop - Bremen St at Brooks St,42.37536686015489,-71.03135883808136
29748,215,The Eddy at New Street,42.37078454600501,-71.04426160454749
72713,216,Glendon St at Condor St,42.38244736415864,-71.0302323102951
71084,217,Orient Heights T Stop - Bennington St at Saratoga St,42.38673178529929,-71.00621223455164
30227,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693
83314,219,Central Square East Boston - Porter Street at London Street,42.37430131617823,-71.03808671246952
